,restaurant,item,calories,protein,total_fat,total_carb,recipe_name,recipe_calories,recipe_protein,recipe_fat,recipe_carb,recipe_image
77,Sonic,Jalapeno Burger,640,31.0,37,42,BLT Pizza,628.0,26.0,26.0,70.0,https://spoonacular.com/recipeImages/680975-312x231.jpg
78,Subway,Footlong Veggie Patty,780,46.0,14,112,Grilled Sesame Chicken,751.0,23.0,39.0,84.0,https://spoonacular.com/recipeImages/645879-312x231.jpg
79,Burger King,Chicken Cordon Bleu Sandwich,730,32.0,39,63,Crab Stacks,730.0,56.0,26.0,58.0,https://spoonacular.com/recipeImages/640321-312x231.jpg
80,Taco Bell,Original Triple Double Crunchwrap,700,23.0,30,85,Ancho Chipotle Chili,695.0,43.0,43.0,27.0,https://spoonacular.com/recipeImages/610281-312x231.jpg
81,Arbys,Bourbon BBQ Chicken Sandwich,690,38.0,31,66,Cinnamon French Toast Sticks,695.0,23.0,26.0,87.0,https://spoonacular.com/recipeImages/764752-312x231.jpg
82,Mcdonalds,Signature Sriracha Burger,670,32.0,35,56,Apricot Glazed Apple Tart,658.0,6.0,35.0,77.0,https://spoonacular.com/recipeImages/632660-312x231.jpg
83,Sonic,Sonic Burger W/ Mustard,640,31.0,37,43,summer vegetable pizza,614.0,27.0,20.0,75.0,https://spoonacular.com/recipeImages/662264-312x231.jpg
84,Subway,Chipotle Southwest Steak & Cheese Wrap,760,43.0,37,65,Braid sweet citrus flavored licorice,769.0,10.0,51.0,66.0,https://spoonacular.com/recipeImages/635786-312x231.jpg
85,Burger King,Bacon King Jr,730,32.0,39,63,Baked Brabant Potatoes,750.0,10.0,34.0,96.0,https://spoonacular.com/recipeImages/633469-312x231.jpg
86,Arbys,Loaded Italian Sandwich,680,32.0,40,49,Chess Pie Two Ways,680.0,7.0,38.0,80.0,https://spoonacular.com/recipeImages/637797-312x231.jpg
87,Taco Bell,Smothered Burrito - Steak,670,35.0,29,68,Open Ravioli With Butternut Squash and Amaretti,686.0,13.0,56.0,33.0,https://spoonacular.com/recipeImages/653777-312x231.jpg
