,restaurant,item,calories,protein,total_fat,total_carb,recipe_name,recipe_calories,recipe_protein,recipe_fat,recipe_carb,recipe_image
120,Subway,Rotisserie-Style Chicken Caesar Wrap,730,55.0,34,53,"Stir Fried Quinoa, Brown Rice and Chicken Breast",750.0,58.0,20.0,78.0,https://spoonacular.com/recipeImages/716361-312x231.jpg
121,Burger King,Chicken Caesar Salad w/ Crispy Chicken,670,34.0,43,40,Blue Cheese Burgers,659.0,45.0,37.0,32.0,https://spoonacular.com/recipeImages/635350-312x231.jpg
122,Arbys,Beef 'n Cheddar Mid,630,39.0,32,48,Classic Matzo Ball Soup,612.0,39.0,39.0,22.0,https://spoonacular.com/recipeImages/639616-312x231.jpg
123,Taco Bell,Chicken Quesarito,620,24.0,30,64,Best Chicken Parmesan,636.0,53.0,26.0,42.0,https://spoonacular.com/recipeImages/634891-312x231.jpg
124,Mcdonalds,Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,28.0,23,64,Roasted Plum Oatmeal,582.0,18.0,43.0,29.0,https://spoonacular.com/recipeImages/658624-312x231.jpg
125,Sonic,Cheesy Bacon Pretzel Dog - 6 In.,500,15.0,26,46,Pan Seared Salmon,485.0,34.0,38.0,1.0,https://spoonacular.com/recipeImages/654435-312x231.jpg
126,Subway,Footlong Rotisserie Style Chicken,700,58.0,12,88,Amazing Braised Beef Short Ribs,726.0,60.0,42.0,11.0,https://spoonacular.com/recipeImages/632299-312x231.jpg
127,Burger King,WHOPPER w/o Cheese,660,28.0,40,49,Fried Salmon Cakes,693.0,27.0,31.0,67.0,https://spoonacular.com/recipeImages/643789-312x231.jpg
128,Arbys,"Roast Turkey, Ranch & Bacon Wrap",620,37.0,34,39,Parsley Salad With Olive Oil Dressing,635.0,23.0,47.0,19.0,https://spoonacular.com/recipeImages/654707-312x231.jpg
129,Taco Bell,Chickstar,620,17.0,37,53,Classic Beef Pasta Stroganoff,591.0,32.0,38.0,30.0,https://spoonacular.com/recipeImages/639585-312x231.jpg
130,Mcdonalds,Grilled Signature Sriracha Chicken Sandwich,560,41.0,20,56,Cream Corn & Chicken Soup,560.0,40.0,25.0,41.0,https://spoonacular.com/recipeImages/640518-312x231.jpg
131,Subway,Cheese Pizza,680,32.0,22,96,French Toast Croissants with Strawberries,657.0,9.0,49.0,42.0,https://spoonacular.com/recipeImages/643405-312x231.jpg
132,Burger King,Original Chicken Sandwich,630,24.0,39,46,Nachos Grande,642.0,21.0,34.0,55.0,https://spoonacular.com/recipeImages/652919-312x231.jpg
133,Taco Bell,Chicken Crunchy Cheesy Core Burrito,610,25.0,24,74,Fenugreek Raisin Apple Curry,611.0,2.0,22.0,104.0,https://spoonacular.com/recipeImages/642673-312x231.jpg
134,Arbys,Half Pound Roast Beef Sandwich,610,48.0,30,38,Singapore Curry,633.0,23.0,28.0,68.0,https://spoonacular.com/recipeImages/660185-312x231.jpg
135,Mcdonalds,Big Mac,540,25.0,28,46,Puff Paste quiche,541.0,29.0,26.0,45.0,https://spoonacular.com/recipeImages/157093-312x231.jpg
136,Subway,Footlong Carved Turkey,660,50.0,10,90,Cassoulet with Chicken or Duck,651.0,51.0,22.0,53.0,https://spoonacular.com/recipeImages/637276-312x231.jpg
137,Taco Bell,Steak Crunchy Cheesy Core Burrito,610,25.0,24,75,Sweet Corn Pudding,631.0,15.0,52.0,28.0,https://spoonacular.com/recipeImages/662501-312x231.jpg
138,Arbys,Smokehouse Brisket,600,33.0,35,42,Apple Custard Pie With Oatmeal Crust,604.0,7.0,19.0,101.0,https://spoonacular.com/recipeImages/632525-312x231.jpg
139,Burger King,Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,590,42.0,40,18,Easy Thai Fried Rice,587.0,16.0,5.0,114.0,https://spoonacular.com/recipeImages/642125-312x231.jpg
140,Mcdonalds,Grilled Garlic White Cheddar Chicken Sandwich,530,42.0,20,48,Wan Ton Mee,506.0,28.0,14.0,60.0,https://spoonacular.com/recipeImages/664938-312x231.jpg
141,Subway,Footlong Roast Beef,640,48.0,10,90,Pork Fried Rice,635.0,41.0,26.0,54.0,https://spoonacular.com/recipeImages/656777-312x231.jpg
142,Taco Bell,Double Chalupa,600,21.0,35,50,Chicken Liver Salad,613.0,45.0,42.0,9.0,https://spoonacular.com/recipeImages/638166-312x231.jpg
143,Arbys,5 piece Prime-Cut Chicken Tenders,600,39.0,28,47,Gnocchi and Wilted Spinach Salad,578.0,15.0,30.0,61.0,https://spoonacular.com/recipeImages/644917-312x231.jpg
144,Burger King,Extra Long Cheeseburger,580,26.0,33,45,Baked Sirloin Steak,578.0,6.0,24.0,93.0,https://spoonacular.com/recipeImages/633790-312x231.jpg
145,Mcdonalds,Quarter Pounder® with Cheese,530,31.0,27,41,Pasta with Spicy Sausage & Rapini,515.0,22.0,31.0,35.0,https://spoonacular.com/recipeImages/654953-312x231.jpg
146,Subway,Footlong Oven Roasted Chicken,640,46.0,10,44,Blueberry Cheesecake,634.0,4.0,46.0,55.0,https://spoonacular.com/recipeImages/635434-312x231.jpg
147,Taco Bell,Spicy Double Chalupa,600,21.0,35,52,Quick Goan Fish Curry,607.0,26.0,49.0,17.0,https://spoonacular.com/recipeImages/657598-312x231.jpg
148,Arbys,Smokehouse Beef Short Rib Sandwich,590,26.0,59,59,Balthazar Brioche French Toast,582.0,19.0,26.0,67.0,https://spoonacular.com/recipeImages/633956-312x231.jpg
